id	instruction_en	instruction_my	response_en	response_my	category	source	guideline_version	notes
TB-NTP-001	What is the primary healthcare strategy used by Myanmar National TB Programme?	မြန်မာနိုင်ငံ အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်းသည် မည်သည့် ကျန်းမာရေး နည်းဗျူဟာကို အသုံးပြုသနည်း။	Myanmar National TB Programme uses a primary healthcare strategy to accelerate TB control activities.	မြန်မာနိုင်ငံအမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်း သည် ပဏာမ ကျန်းမာရေး စောင့်ရှောက်မှု နည်းဗျူဟာကို အသုံးပြု၍ တီဘီရောဂါ တိုက်ဖျက်ရေး လုပ်ငန်းများ ကို အရှိန်အဟုန်မြှင့် ဆောင်ရွက်ပါသည်။	Healthcare worker training	Myanmar NTP	2024	Primary healthcare approach
TB-NTP-002	What is the current status of tuberculosis in Myanmar?	မြန်မာနိုင်ငံတွင် တီဘီရောဂါ၏ လက်ရှိ အခြေအနေမှာ မည်သို့နည်း။	Tuberculosis remains a major health problem in Myanmar.	တီဘီရောဂါသည် မြန်မာနိုင်ငံ ၏ အဓိက ကျန်းမာရေး ပြဿနာ အဖြစ် တည်ရှိနေဆဲဖြစ်ပါသည်။	Patient education	Myanmar NTP	2024	Current TB situation in Myanmar
TB-NTP-003	What is the general objective of Myanmar National TB Programme?	မြန်မာနိုင်ငံ အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်း၏ ယေဘုယျ ရည်မှန်းချက်မှာ အဘယ်နည်း။	The general objective is to eliminate TB as a major health problem in Myanmar and improve the health status of the population, using a primary healthcare approach to accelerate TB control activities.	ယေဘုယျ ရည်မှန်းချက်မှာ ပဏာမကျန်းမာရေး စောင့်ရှောက်မှု နည်းဗျူဟာကိုအသုံးပြု၍ တီဘီရောဂါတိုက်ဖျက်ရေး စီမံကိန်းလုပ်ငန်းများကို အရှိန်အဟုန်မြှင့်ဆောင်ရွက်ခြင်းဖြင့် တီဘီရောဂါသည် မြန်မာနိုင်ငံ၏ အဓိကကျန်းမာရေးပြဿနာအဖြစ် မတည်ရှိတော့ပဲ ပြည်သူလူထူ၏ ကျန်းမာရေးအဆင့်အတန်း တိုးတက်မြင့်မားလာစေရန် ဖြစ်ပါသည်။	Healthcare worker training	Myanmar NTP	2024	General objective - TB elimination goal
TB-NTP-004	How many specific objectives does Myanmar National TB Programme have?	မြန်မာနိုင်ငံ အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်းတွင် တိကျသော ရည်ရွယ်ချက် ဘယ်နှစ်ခု ရှိသနည်း။	Myanmar National TB Programme has three specific objectives.	မြန်မာနိုင်ငံ အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်းတွင် ရည်ရွယ်ချက် သုံးခု ရှိပါသည်။	Healthcare worker training	Myanmar NTP	2024	Three objectives total
TB-NTP-005	What is the first objective of Myanmar National TB Programme?	မြန်မာနိုင်ငံ အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်း၏ ပထမ ရည်ရွယ်ချက်မှာ အဘယ်နည်း။	The first objective is to accelerate the reduction of TB and drug-resistant TB incidence.	ပထမ ရည်ရွယ်ချက်မှာ တီဘီရောဂါ နှင့် ဆေးယဉ်ပါး တီဘီရောဂါ ဖြစ်ပွားမှု လျော့ချနိုင်ရေး ကို အရှိန်အဟုန် မြှင့် ဆောင်ရွက်ရန် ဖြစ်ပါသည်။	Drug-resistant TB (MDR-TB)	Myanmar NTP	2024	First objective - reduce incidence
TB-NTP-006	What is the second objective of Myanmar National TB Programme?	မြန်မာနိုင်ငံ အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်း၏ ဒုတိယ ရည်ရွယ်ချက်မှာ အဘယ်နည်း။	The second objective is to integrate TB prevention and treatment as universal health coverage accessible to all people.	ဒုတိယ ရည်ရွယ်ချက်မှာ တီဘီရောဂါ ကာကွယ် ကုသခြင်း လုပ်ငန်းကို ပြည်သူ တစ်ရပ်လုံး လက်လှမ်း မီသော ကျန်းမာရေး စောင့်ရှောက်မှု အဖြစ် ထည့်သွင်း ဆောင်ရွက်ရန် ဖြစ်ပါသည်။	Treatment guidelines	Myanmar NTP	2024	Second objective - universal health coverage
TB-NTP-007	What is the third objective of Myanmar National TB Programme?	မြန်မာနိုင်ငံ အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်း၏ တတိယ ရည်ရွယ်ချက်မှာ အဘယ်နည်း။	The third objective is to accelerate TB prevention and treatment among targeted high-risk groups.	တတိယ ရည်ရွယ်ချက်မှာ တီဘီရောဂါ ဖြစ်ပွားနိုင်ချေရှိသည့် ဦးတည်အုပ်စုများ ၌ တီဘီရောဂါ ကာကွယ် ကုသခြင်းကို အရှိန်အဟုန်မြှင့် ဆောင်ရွက်ရန် ဖြစ်ပါသည်။	Treatment guidelines	Myanmar NTP	2024	Third objective - target high-risk groups
TB-NTP-008	What is the vision of Myanmar National TB Programme for 2050?	မြန်မာနိုင်ငံ အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်း၏ ၂၀၅၀ ခုနှစ်အတွက် ရည်မှန်းချက်မှာ အဘယ်နည်း။	The vision for 2050 is to reduce TB incidence, mortality, prevalence, and suffering to zero in Myanmar.	၂၀၅၀ ခုနှစ်တွင် မြန်မာနိုင်ငံ၌ တီဘီရောဂါဖြစ်ပွားမှု၊ သေဆုံးမှု၊ ဖြစ်ပွားမှု နှင့် ခံစားရမှု တို့ကို သုညအထိ လျော့ချရန် ရည်မှန်းထားပါသည်။	Treatment guidelines	Myanmar NTP	2024	2050 Vision - Zero TB targets
TB-NTP-009	What is the global target for TB incidence by 2035?	ကမ္ဘာအဆင့် ၂၀၃၅ ခုနှစ်အတွက် တီဘီရောဂါ ဖြစ်ပွားမှု ပန်းတိုင်မှာ အဘယ်နည်း။	The global target is to reduce new TB cases to 10 per 100000 population by 2035.	ကမ္ဘာအဆင့် ပန်းတိုင်မှာ ၂၀၃၅ ခုနှစ်တွင် တီဘီလူနာသစ်ဖြစ်ပွားမှုကို လူ ၁ သိန်းတွင် ၁၀ ယောက်အထိ လျော့ချရန် ဖြစ်ပါသည်။	Treatment guidelines	WHO	2024	Global 2035 target - 10 per 100000
TB-NTP-010	What is Myanmar's target for TB incidence by 2035?	မြန်မာနိုင်ငံ၏ ၂၀၃၅ ခုနှစ်အတွက် တီဘီရောဂါ ဖြစ်ပွားမှု ပန်းတိုင်မှာ အဘယ်နည်း။	Myanmar's target is to reduce new TB incidence rate by 90% compared to 2015 levels by 2035.	မြန်မာနိုင်ငံ၏ ပန်းတိုင်မှာ ၂၀၃၅ ခုနှစ်တွင် တီဘီလူနာသစ်ဖြစ်ပွားမှုနှုန်းကို ၂၀၁၅ ခုနှစ် တီဘီလူနာသစ်ဖြစ်ပွားမှု၏ ၉၀% ထိလျော့ချရန် ဖြစ်ပါသည်။	Treatment guidelines	Myanmar NTP	2024	Myanmar 2035 target - 90% reduction from 2015
