English	Myanmar	Category	Notes	Update	Unnamed: 5	Unnamed: 6
Accelerate	အရှိန်အဟုန်မြှင့်	General	To speed up or increase pace			
Accessible	လက်လှမ်းမီသော	General	Able to be reached or accessed			
Active case finding	တက်ကြွတီဘီရှိသော လူနာကိုရှာဖွေခြင်း	Diagnostic	Proactive patient detection	တက်ကြွတီဘီရှိသော လူနာကိုရှာဖွေခြင်း		
Active TB	ကူးစက်နိုင်သော တီဘီရောဂါ	Diagnosis	Active tuberculosis disease			
Active TB disease	ကူးစက်နိုင်သော တီဘီရောဂါ	Diagnosis	Active tuberculosis infection			
Adherence	ဆေးသောက်လိုက်နာမှု	Treatment	Treatment compliance			
Adverse drug reaction	ဆေးဝါး ဆိုးကျိုး	Drug Safety	Unwanted drug effects			
Adverse effect	ဆိုးကျိုး / ဘေးထွက်ဆိုးကျိုး	Drug Safety	Negative treatment outcomes			
Age group	အသက်အုပ်စု	Demographics	Age classification			
All-oral regimen	ပါးစပ်ဖြင့်သောက်သုံးနိုင်သော ကုထုံး	Treatment	Oral-only treatment			
Alternative rifamycin	အခြား rifamycin	Drugs	Non-standard rifamycin			
Am (Amikacin)	Am (အမီကာစင်ဆေးဝါး)	Drugs	Injectable aminoglycoside			
Aminoglycoside	အမီနိုဂလိုင်ကိုဆိုက်	Drugs	Class of antibiotics			
Anemia	သွေးအားနည်းရောဂါ	Side Effects	Low red blood cell count			
Anti-TB activity	TB ဆန့်ကျင်ရေး လုပ်ဆောင်ချက်	Drugs	Tuberculosis-fighting action			
Anti-TB drug	TB ဆန့်ကျင်ရေး ဆေးဝါး	Drugs	Tuberculosis medication			
Antibiotic	ပဋိဇီဝဆေး	Drugs	Antibacterial medication			
Arrhythmia	နှလုံးခုန်နှုန်း မမှန်မကန်ဖြစ်မှု	Side Effects	Irregular heartbeat			
Assessment	အကဲဖြတ်မှု	General	Evaluation process			
Bacteria	ဘက်တီးရီးယား	Microbiology	Bacterial organisms			
Bactericidal	ဘက်တီးရီးယားသတ်နိုင်သော	Drugs	Kills bacteria			
Bacteriological confirmation	ဘက်တီးရီးယား စစ်ဆေးမှု	Diagnosis	Laboratory confirmation			
Bacteriostatic	ဘက်တီးရီးယား တိုးပွားမှုကို ရပ်တန့်စေသော	Drugs	Stops bacterial growth			
Baseline	အခြေခံ ကိန်းဂဏန်း / အခြေအနေ	Statistics	Starting point measurement			
Bdq (Bedaquiline)	Bdq (ဘီဒါကွီလင်းဆေးဝါး)	Drugs	Newer oral TB drug			
Bedaquiline	ဘီဒါကွီလင်းဆေးဝါး	Drugs	Novel TB medication			
BPaL regimen	BPaL ကုထုံး	Treatment	Bedaquiline-Pretomanid-Linezolid			
Burden	ဝန်ထုပ်ဝန်ပိုး	Epidemiology	Disease burden			
Cardiac monitoring	နှလုံး စောင့်ကြည့်မှု	Monitoring	Heart function monitoring			
Carbapenem	ကာဘာပီနန်	Drugs	Class of antibiotics			
Case detection	လူနာရှာဖွေတွေ့ရှိမှု	Diagnosis	Finding TB cases			
Case finding	လူနာရှာဖွေခြင်း	Diagnosis	Active patient search			
Catastrophic costs	မိသားစုဝင်ငွေအပေါ် ဆုံးရှုံးနစ်နာစေသော အပိုငွေကြေး ကုန်ကျမှု	Economics	Severe financial burden			
Category	အမျိုးအစား	Classification	Type or class			
Chest radiography	ရင်ဘတ် ဓာတ်မှန်ရိုက်ခြင်း	Diagnosis	Chest X-ray			
Children	ကလေးများ	Demographics	Pediatric population			
Clinical symptoms	လူနာ၏ လက္ခဏာများ	Diagnosis	Patient symptoms			
Close contact	နီးကပ်စွာထိတွေ့သူ	Epidemiology	TB exposure contact			
Close contact investigation	နီးကပ်စွာထိတွေ့သူ စူးစမ်းစစ်ဆေးခြင်း	Diagnosis	Contact tracing			
Co-infected	တပြိုင်နက် ကူးစက်ခံရ	Comorbidity	Simultaneous infections			
Combination	ပေါင်းစပ်မှု	Treatment	Drug combination			
Comorbidity	တွဲဖက်ဖြစ်ပွားသော ရောဂါ	Medical	Additional diseases			
Comparative efficacy	နှိုင်းယှဉ်နိုင်သော ထိရောက်မှု	Drugs	Comparable effectiveness			
Composition	ဖွဲ့စည်းမှု	Treatment	Regimen makeup			
Confirmed TB	အတည်ပြုထားသော တီဘီရောဂါ	Diagnosis	Laboratory-confirmed TB			
Contact screening	ထိတွေ့ဆက်ဆံမှု စစ်ဆေးခြင်း	Diagnosis	Contact investigation	ထိတွေ့ဆက်ဆံမှု စစ်ဆေးခြင်း		
Contact tracing	ထိတွေ့ဆက်ဆံမှု ခြေရာခံခြင်း	Epidemiology	Finding contacts	ထိတွေ့ဆက်ဆံမှု ခြေရာခံခြင်း		
Cornerstone drug	အခြေခံအုတ်မြစ်ဖြစ်သော ဆေးဝါး	Drugs	Essential medication			
Cs (Cycloserine)	Cs (ဆိုင်ကလိုဆယ်ရင်းဆေးဝါး)	Drugs	Second-line TB drug			
Culture	ပိုးမွေးစမ်းသပ်ခြင်း	Diagnosis	Bacterial culture			
Cycloserine	ဆိုင်ကလိုဆယ်ရင်းဆေးဝါး	Drugs	Second-line medication			
Deaths	သေဆုံးမှု	Epidemiology	Mortality			
Delamanid	ဒီလာမာနစ်ဆေးဝါး	Drugs	Newer TB medication			
Detection	ရှာဖွေတွေ့ရှိမှု	Diagnosis	Finding cases			
Diagnosis	စစ်ဆေးဖော်ထုတ်ခြင်း	Medical	Disease identification			
Diagnostic criteria	စစ်ဆေးဖော်ထုတ်ရာတွင် အသုံးပြုသော သတ်မှတ်ချက်များ	Diagnosis	Criteria for diagnosis			
Directly observed treatment	တိုက်ရိုက် ကြီးကြပ် ကုသခြင်း	Treatment	DOT treatment approach			
Dlm (Delamanid)	Dlm (ဒီလာမာနစ်ဆေးဝါး)	Drugs	Newer oral TB drug			
Documentation	မှတ်တမ်းတင်ခြင်း	General	Record keeping			
DOT (Directly Observed Treatment)	DOT (တိုက်ရိုက် ကြီးကြပ် ကုသခြင်း)	Treatment	Supervised treatment			
Drug combinations	ဆေးဝါး ပေါင်းစပ်မှုများ	Treatment	Medication combinations			
Drug interaction	ဆေးဝါး အပြန်အလှန် တုံ့ပြန်မှု	Pharmacology	Drug-drug interaction			
Drug management	ဆေးဝါး စီမံခန့်ခွဲမှု	Treatment	Medication management			
Drug resistance	ဆေးယဉ်ပါးခြင်း	Resistance	Antibiotic resistance	ဆေးယဉ်ပါးခြင်း		
Drug-resistant TB	ဆေးယဉ်ပါး တီဘီရောဂါ / ဆေးဒဏ်ခံ တီဘီရောဂါ	Diagnosis	Resistant tuberculosis			
Duration	ကာလ	Treatment	Time period			
E (Ethambutol)	E (အီသမ်ဘျူတောလ်ဆေးဝါး)	Drugs	First-line TB drug			
Early diagnosis	စောစီးစွာ စစ်ဆေးဖော်ထုတ်ခြင်း	Diagnosis	Early detection			
ECG	ECG	Monitoring	Electrocardiogram			
Education	ပညာပေး	General	Teaching/training			
Efficacy	ထိရောက်မှု	Drugs	Effectiveness			
Eliminate TB	တီဘီရောဂါ ပပျောက်စေ	Goals	Eradicate tuberculosis			
Energy metabolism	စွမ်းအင် ဇီဝဖြစ်ပျက်မှု	Biology	Metabolic processes			
Essential drug	မရှိမဖြစ်လိုအပ်သော ဆေးဝါး	Drugs	Critical medication			
Ethambutol	အီသမ်ဘျူတောလ်ဆေးဝါး	Drugs	First-line medication			
Ethionamide	အီသီအိုနမိုက်ဆေးဝါး	Drugs	Second-line medication			
Eto (Ethionamide)	Eto (အီသီအိုနမိုက်ဆေးဝါး)	Drugs	Second-line TB drug			
Extensively drug-resistant TB	အလွန်အမင်းဆေးဒဏ်ခံ တီဘီ	Diagnosis	XDR-TB			
Extra-pulmonary TB	အဆုတ်ပြင်ပ တီဘီရောဂါ	Diagnosis	TB outside lungs			
Facilitate	လွယ်ကူစေ	General	Make easier			
First-line drug	ပထမတန်းစား ဆေးဝါး	Drugs	Primary medication			
Fluoroquinolone	ဖလိုရိုကွီနိုလုန်းဆေး	Drugs	Class of antibiotics			
Follow-up	နောက်ဆက်တွဲ စောင့်ကြည့်ခြင်း	Treatment	Continued monitoring			
Gastrointestinal	အစာအိမ်အူလမ်းကြောင်း	Anatomy	Digestive system			
General objective	ယေဘုယျ ရည်မှန်းချက်	Goals	Overall objective			
Global target	ကမ္ဘာအဆင့် ပန်းတိုင်	Goals	Worldwide target			
Guidelines	လမ်းညွှန်ချက်များ	Standards	Treatment protocols			
H (Isoniazid)	H (အိုင်ဆိုနိုင်ယာဇစ်ဆေးဝါး)	Drugs	First-line TB drug			
Health problem	ကျန်းမာရေး ပြဿနာ	Public Health	Medical issue			
Health status	ကျန်းမာရေးအဆင့်အတန်း	Public Health	Health condition			
Healthcare approach	ကျန်းမာရေး နည်းဗျူဟာ	Healthcare System	Health strategy			
Healthcare settings	ကျန်းမာရေး အပြင်အဆင်များ	Healthcare System	Medical facilities			
Healthcare worker	ကျန်းမာရေး ဝန်ထမ်း	Personnel	Medical staff			
Hematologic toxicity	သွေးဆိုင်ရာ အဆိပ်သင့်မှု	Side Effects	Blood-related toxicity			
High-risk groups	ဖြစ်ပွားနိုင်ချေရှိသည့် ဦးတည်အုပ်စုများ	Epidemiology	Vulnerable populations			
HIV co-infected	HIV တပြိုင်နက် ကူးစက်ခံရသော	Comorbidity	HIV-TB co-infection			
Households	မိသားစုဝင်	Demographics	Family units			
HRZE regimen	HRZE ကုထုံး	Treatment	Standard 4-drug regimen			
